date,OPEN,HIGH,LOW,CLOSE,VOLUME,dividend,event_type,description
2015-10-28,89.0,90.49,87.33,90.05,128577920,11391289093.9,,
2015-10-29,89.73,91.0,88.31,88.6,114433270,10264611464.2,,
2015-10-30,88.75,90.8,88.12,90.53,85414040,7671652354.9,,
2015-11-02,90.25,93.8,89.66,93.65,125019670,11533162305.0,,
2015-11-03,93.89,95.59,93.32,95.4,122438730,11599161951.2,,
2015-11-05,96.0,96.6,94.6,95.5,127769250,12206480529.7,,
2015-11-06,95.5,95.91,93.57,94.09,106579170,10073225196.8,,
2015-11-09,94.5,94.79,92.7,92.95,79039400,7402085478.9,,
2015-11-10,92.78,94.42,92.02,94.35,71523380,6655777226.0,,
2015-11-11,94.2,94.86,92.65,94.0,77489920,7269524919.6,,
2015-11-12,93.4,94.77,92.69,94.29,79197840,7419518325.5,,
2015-11-13,93.4,94.39,92.96,93.4,79071320,7405583101.2,,
2015-11-16,93.01,96.14,93.01,95.8,88111460,8334568871.8,,
2015-11-17,96.52,102.67,96.52,102.5,181101510,18037339094.4,,
2015-11-18,102.78,104.59,101.74,104.0,136661570,14142767356.0,,
2015-11-19,104.7,108.55,102.54,104.86,191081370,20252810885.6,,
2015-11-20,104.35,107.3,103.19,107.3,113710820,11970586652.5,,
2015-11-23,106.88,110.32,105.22,109.98,173233750,18771890126.7,,
2015-11-24,109.81,110.7,105.15,105.6,154170880,16553006789.6,,
2015-11-25,106.3,108.94,105.44,108.51,119491800,12803338864.7,,
2015-11-26,108.77,109.3,105.6,106.48,80653490,8668625700.7,,
2015-11-27,105.74,106.06,103.7,104.55,93334840,9777583229.9,,
2015-11-30,103.9,105.9,102.75,102.9,87247790,9118566860.4,,
2015-12-01,103.5,103.9,100.6,101.3,98894750,10092767266.0,,
2015-12-02,101.48,103.49,101.15,102.5,89735480,9173964817.2,,
2015-12-03,101.9,105.02,101.5,104.0,96438740,9954576276.4,,
2015-12-04,103.7,105.67,102.25,103.05,107660660,11195660819.9,,
2015-12-07,103.45,104.9,102.78,103.0,91341440,9468669139.4,,
2015-12-08,102.8,103.08,96.95,97.0,159235470,15881189863.0,,
2015-12-09,97.47,101.05,97.24,100.66,119148390,11798511398.8,,
2015-12-10,100.3,101.75,99.67,100.13,88967510,8959436284.2,,
2015-12-11,99.89,100.59,97.76,98.15,90949100,9032283624.3,,
2015-12-14,97.58,98.37,96.23,97.7,101851290,9921378442.1,,
2015-12-15,98.5,100.79,98.24,100.0,87563530,8741234831.7,,
2015-12-16,100.25,102.5,100.07,102.45,70548170,7173782061.5,,
2015-12-17,102.95,105.18,102.55,103.75,120210540,12511558166.4,,
2015-12-18,103.05,103.18,98.8,98.81,108929250,10934242379.6,,
2015-12-21,98.9,100.8,97.65,98.73,81398290,8076479541.6,,
2015-12-22,99.5,100.4,99.1,99.8,48799790,4870644757.0,,
2015-12-23,100.15,102.96,100.13,102.96,72286800,7362336613.5,,
2015-12-24,103.75,103.89,100.4,101.35,72255900,7360203488.0,,
2015-12-25,101.83,102.32,100.78,101.34,26197790,2659577449.7,,
2015-12-28,101.2,101.54,99.46,100.2,36924620,3696017086.7,,
2015-12-29,100.49,102.5,99.74,101.82,72703690,7344425012.6,,
2015-12-30,101.67,101.85,100.47,101.26,38868080,3932572461.9,,
2016-01-04,101.0,101.78,97.94,98.01,51264550,5077424469.2,,
2016-01-05,97.88,99.24,97.16,98.89,49071570,4821702731.4,,
2016-01-06,98.7,99.56,96.83,96.85,40710930,3986265724.8,,
2016-01-11,93.61,94.89,91.01,91.03,86120290,7987443989.1,,
2016-01-12,89.09,92.88,88.52,91.71,110109050,10043706788.5,,
2016-01-13,92.75,93.88,91.25,91.5,74169700,6892432509.5,,
2016-01-14,91.0,93.15,90.37,93.04,81179220,7437317841.1,,
2016-01-15,92.44,92.95,86.85,87.27,133791200,11969727980.7,,
2016-01-18,86.01,88.28,85.1,86.15,100574240,8736658755.0,,
2016-01-19,87.39,89.7,85.76,86.68,114039260,10054122892.0,,
2016-01-20,84.89,85.19,82.2,83.83,134624680,11248337450.6,,
